Date,Time,HomeTeam,AwayTeam,HG,AG,Covid,Season
9/8/2019,20:00,Liverpool,Norwich,4,1,Before,2019
10/8/2019,12:30,West Ham,Man City,0,5,Before,2019
10/8/2019,15:00,Bournemouth,Sheffield United,1,1,Before,2019
10/8/2019,15:00,Burnley,Southampton,3,0,Before,2019
10/8/2019,15:00,Crystal Palace,Everton,0,0,Before,2019
10/8/2019,15:00,Watford,Brighton,0,3,Before,2019
10/8/2019,17:30,Tottenham,Aston Villa,3,1,Before,2019
11/8/2019,14:00,Leicester,Wolves,0,0,Before,2019
11/8/2019,14:00,Newcastle,Arsenal,0,1,Before,2019
11/8/2019,16:30,Man United,Chelsea,4,0,Before,2019
17/08/2019,12:30,Arsenal,Burnley,2,1,Before,2019
17/08/2019,15:00,Aston Villa,Bournemouth,1,2,Before,2019
17/08/2019,15:00,Brighton,West Ham,1,1,Before,2019
17/08/2019,15:00,Everton,Watford,1,0,Before,2019
17/08/2019,15:00,Norwich,Newcastle,3,1,Before,2019
17/08/2019,15:00,Southampton,Liverpool,1,2,Before,2019
17/08/2019,17:30,Man City,Tottenham,2,2,Before,2019
18/08/2019,14:00,Sheffield United,Crystal Palace,1,0,Before,2019
18/08/2019,16:30,Chelsea,Leicester,1,1,Before,2019
19/08/2019,20:00,Wolves,Man United,1,1,Before,2019
23/08/2019,20:00,Aston Villa,Everton,2,0,Before,2019
24/08/2019,12:30,Norwich,Chelsea,2,3,Before,2019
24/08/2019,15:00,Brighton,Southampton,0,2,Before,2019
24/08/2019,15:00,Man United,Crystal Palace,1,2,Before,2019
24/08/2019,15:00,Sheffield United,Leicester,1,2,Before,2019
24/08/2019,15:00,Watford,West Ham,1,3,Before,2019
24/08/2019,17:30,Liverpool,Arsenal,3,1,Before,2019
25/08/2019,14:00,Bournemouth,Man City,1,3,Before,2019
25/08/2019,16:30,Tottenham,Newcastle,0,1,Before,2019
25/08/2019,16:30,Wolves,Burnley,1,1,Before,2019
31/08/2019,12:30,Southampton,Man United,1,1,Before,2019
31/08/2019,15:00,Chelsea,Sheffield United,2,2,Before,2019
31/08/2019,15:00,Crystal Palace,Aston Villa,1,0,Before,2019
31/08/2019,15:00,Leicester,Bournemouth,3,1,Before,2019
31/08/2019,15:00,Man City,Brighton,4,0,Before,2019
31/08/2019,15:00,Newcastle,Watford,1,1,Before,2019
31/08/2019,15:00,West Ham,Norwich,2,0,Before,2019
31/08/2019,17:30,Burnley,Liverpool,0,3,Before,2019
1/9/2019,14:00,Everton,Wolves,3,2,Before,2019
1/9/2019,16:30,Arsenal,Tottenham,2,2,Before,2019
14/09/2019,12:30,Liverpool,Newcastle,3,1,Before,2019
14/09/2019,15:00,Brighton,Burnley,1,1,Before,2019
14/09/2019,15:00,Man United,Leicester,1,0,Before,2019
14/09/2019,15:00,Sheffield United,Southampton,0,1,Before,2019
14/09/2019,15:00,Tottenham,Crystal Palace,4,0,Before,2019
14/09/2019,15:00,Wolves,Chelsea,2,5,Before,2019
14/09/2019,17:30,Norwich,Man City,3,2,Before,2019
15/09/2019,14:00,Bournemouth,Everton,3,1,Before,2019
15/09/2019,16:30,Watford,Arsenal,2,2,Before,2019
16/09/2019,20:00,Aston Villa,West Ham,0,0,Before,2019
20/09/2019,20:00,Southampton,Bournemouth,1,3,Before,2019
21/09/2019,12:30,Leicester,Tottenham,2,1,Before,2019
21/09/2019,15:00,Burnley,Norwich,2,0,Before,2019
21/09/2019,15:00,Everton,Sheffield United,0,2,Before,2019
21/09/2019,15:00,Man City,Watford,8,0,Before,2019
21/09/2019,17:30,Newcastle,Brighton,0,0,Before,2019
22/09/2019,14:00,Crystal Palace,Wolves,1,1,Before,2019
22/09/2019,14:00,West Ham,Man United,2,0,Before,2019
22/09/2019,16:30,Arsenal,Aston Villa,3,2,Before,2019
22/09/2019,16:30,Chelsea,Liverpool,1,2,Before,2019
28/09/2019,12:30,Sheffield United,Liverpool,0,1,Before,2019
28/09/2019,15:00,Aston Villa,Burnley,2,2,Before,2019
28/09/2019,15:00,Bournemouth,West Ham,2,2,Before,2019
28/09/2019,15:00,Chelsea,Brighton,2,0,Before,2019
28/09/2019,15:00,Crystal Palace,Norwich,2,0,Before,2019
28/09/2019,15:00,Tottenham,Southampton,2,1,Before,2019
28/09/2019,15:00,Wolves,Watford,2,0,Before,2019
28/09/2019,17:30,Everton,Man City,1,3,Before,2019
29/09/2019,16:30,Leicester,Newcastle,5,0,Before,2019
30/09/2019,20:00,Man United,Arsenal,1,1,Before,2019
5/10/2019,12:30,Brighton,Tottenham,3,0,Before,2019
5/10/2019,15:00,Burnley,Everton,1,0,Before,2019
5/10/2019,15:00,Liverpool,Leicester,2,1,Before,2019
5/10/2019,15:00,Norwich,Aston Villa,1,5,Before,2019
5/10/2019,15:00,Watford,Sheffield United,0,0,Before,2019
5/10/2019,17:30,West Ham,Crystal Palace,1,2,Before,2019
6/10/2019,14:00,Arsenal,Bournemouth,1,0,Before,2019
6/10/2019,14:00,Man City,Wolves,0,2,Before,2019
6/10/2019,14:00,Southampton,Chelsea,1,4,Before,2019
6/10/2019,16:30,Newcastle,Man United,1,0,Before,2019
19/10/2019,12:30,Everton,West Ham,2,0,Before,2019
19/10/2019,15:00,Aston Villa,Brighton,2,1,Before,2019
19/10/2019,15:00,Bournemouth,Norwich,0,0,Before,2019
19/10/2019,15:00,Chelsea,Newcastle,1,0,Before,2019
19/10/2019,15:00,Leicester,Burnley,2,1,Before,2019
19/10/2019,15:00,Tottenham,Watford,1,1,Before,2019
19/10/2019,15:00,Wolves,Southampton,1,1,Before,2019
19/10/2019,17:30,Crystal Palace,Man City,0,2,Before,2019
20/10/2019,16:30,Man United,Liverpool,1,1,Before,2019
21/10/2019,20:00,Sheffield United,Arsenal,1,0,Before,2019
25/10/2019,20:00,Southampton,Leicester,0,9,Before,2019
26/10/2019,12:30,Man City,Aston Villa,3,0,Before,2019
26/10/2019,15:00,Brighton,Everton,3,2,Before,2019
26/10/2019,15:00,Watford,Bournemouth,0,0,Before,2019
26/10/2019,15:00,West Ham,Sheffield United,1,1,Before,2019
26/10/2019,17:30,Burnley,Chelsea,2,4,Before,2019
27/10/2019,14:00,Newcastle,Wolves,1,1,Before,2019
27/10/2019,16:30,Arsenal,Crystal Palace,2,2,Before,2019
27/10/2019,16:30,Liverpool,Tottenham,2,1,Before,2019
27/10/2019,16:30,Norwich,Man United,1,3,Before,2019
2/11/2019,12:30,Bournemouth,Man United,1,0,Before,2019
2/11/2019,15:00,Arsenal,Wolves,1,1,Before,2019
2/11/2019,15:00,Aston Villa,Liverpool,1,2,Before,2019
2/11/2019,15:00,Brighton,Norwich,2,0,Before,2019
2/11/2019,15:00,Man City,Southampton,2,1,Before,2019
2/11/2019,15:00,Sheffield United,Burnley,3,0,Before,2019
2/11/2019,15:00,West Ham,Newcastle,2,3,Before,2019
2/11/2019,17:30,Watford,Chelsea,1,2,Before,2019
3/11/2019,14:00,Crystal Palace,Leicester,0,2,Before,2019
3/11/2019,16:30,Everton,Tottenham,1,1,Before,2019
8/11/2019,20:00,Norwich,Watford,0,2,Before,2019
9/11/2019,12:30,Chelsea,Crystal Palace,2,0,Before,2019
9/11/2019,15:00,Burnley,West Ham,3,0,Before,2019
9/11/2019,15:00,Newcastle,Bournemouth,2,1,Before,2019
9/11/2019,15:00,Southampton,Everton,1,2,Before,2019
9/11/2019,15:00,Tottenham,Sheffield United,1,1,Before,2019
9/11/2019,17:30,Leicester,Arsenal,2,0,Before,2019
10/11/2019,14:00,Man United,Brighton,3,1,Before,2019
10/11/2019,14:00,Wolves,Aston Villa,2,1,Before,2019
10/11/2019,16:30,Liverpool,Man City,3,1,Before,2019
23/11/2019,12:30,West Ham,Tottenham,2,3,Before,2019
23/11/2019,15:00,Arsenal,Southampton,2,2,Before,2019
23/11/2019,15:00,Bournemouth,Wolves,1,2,Before,2019
23/11/2019,15:00,Brighton,Leicester,0,2,Before,2019
23/11/2019,15:00,Crystal Palace,Liverpool,1,2,Before,2019
23/11/2019,15:00,Everton,Norwich,0,2,Before,2019
23/11/2019,15:00,Watford,Burnley,0,3,Before,2019
23/11/2019,17:30,Man City,Chelsea,2,1,Before,2019
24/11/2019,16:30,Sheffield United,Man United,3,3,Before,2019
25/11/2019,20:00,Aston Villa,Newcastle,2,0,Before,2019
30/11/2019,12:30,Newcastle,Man City,2,2,Before,2019
30/11/2019,15:00,Burnley,Crystal Palace,0,2,Before,2019
30/11/2019,15:00,Chelsea,West Ham,0,1,Before,2019
30/11/2019,15:00,Liverpool,Brighton,2,1,Before,2019
30/11/2019,15:00,Tottenham,Bournemouth,3,2,Before,2019
30/11/2019,17:30,Southampton,Watford,2,1,Before,2019
1/12/2019,14:00,Norwich,Arsenal,2,2,Before,2019
1/12/2019,14:00,Wolves,Sheffield United,1,1,Before,2019
1/12/2019,16:30,Leicester,Everton,2,1,Before,2019
1/12/2019,16:30,Man United,Aston Villa,2,2,Before,2019
3/12/2019,19:30,Crystal Palace,Bournemouth,1,0,Before,2019
3/12/2019,20:15,Burnley,Man City,1,4,Before,2019
4/12/2019,19:30,Chelsea,Aston Villa,2,1,Before,2019
4/12/2019,19:30,Leicester,Watford,2,0,Before,2019
4/12/2019,19:30,Man United,Tottenham,2,1,Before,2019
4/12/2019,19:30,Southampton,Norwich,2,1,Before,2019
4/12/2019,19:30,Wolves,West Ham,2,0,Before,2019
4/12/2019,20:15,Liverpool,Everton,5,2,Before,2019
5/12/2019,19:30,Sheffield United,Newcastle,0,2,Before,2019
5/12/2019,20:15,Arsenal,Brighton,1,2,Before,2019
7/12/2019,12:30,Everton,Chelsea,3,1,Before,2019
7/12/2019,15:00,Bournemouth,Liverpool,0,3,Before,2019
7/12/2019,15:00,Tottenham,Burnley,5,0,Before,2019
7/12/2019,15:00,Watford,Crystal Palace,0,0,Before,2019
7/12/2019,17:30,Man City,Man United,1,2,Before,2019
8/12/2019,14:00,Aston Villa,Leicester,1,4,Before,2019
8/12/2019,14:00,Newcastle,Southampton,2,1,Before,2019
8/12/2019,14:00,Norwich,Sheffield United,1,2,Before,2019
8/12/2019,16:30,Brighton,Wolves,2,2,Before,2019
9/12/2019,20:00,West Ham,Arsenal,1,3,Before,2019
14/12/2019,12:30,Liverpool,Watford,2,0,Before,2019
14/12/2019,15:00,Burnley,Newcastle,1,0,Before,2019
14/12/2019,15:00,Chelsea,Bournemouth,0,1,Before,2019
14/12/2019,15:00,Leicester,Norwich,1,1,Before,2019
14/12/2019,15:00,Sheffield United,Aston Villa,2,0,Before,2019
14/12/2019,17:30,Southampton,West Ham,0,1,Before,2019
15/12/2019,14:00,Man United,Everton,1,1,Before,2019
15/12/2019,14:00,Wolves,Tottenham,1,2,Before,2019
15/12/2019,16:30,Arsenal,Man City,0,3,Before,2019
16/12/2019,19:45,Crystal Palace,Brighton,1,1,Before,2019
21/12/2019,12:30,Everton,Arsenal,0,0,Before,2019
21/12/2019,15:00,Aston Villa,Southampton,1,3,Before,2019
21/12/2019,15:00,Bournemouth,Burnley,0,1,Before,2019
21/12/2019,15:00,Brighton,Sheffield United,0,1,Before,2019
21/12/2019,15:00,Newcastle,Crystal Palace,1,0,Before,2019
21/12/2019,15:00,Norwich,Wolves,1,2,Before,2019
21/12/2019,17:30,Man City,Leicester,3,1,Before,2019
22/12/2019,14:00,Watford,Man United,2,0,Before,2019
22/12/2019,16:30,Tottenham,Chelsea,0,2,Before,2019
26/12/2019,12:30,Tottenham,Brighton,2,1,Before,2019
26/12/2019,15:00,Aston Villa,Norwich,1,0,Before,2019
26/12/2019,15:00,Bournemouth,Arsenal,1,1,Before,2019
26/12/2019,15:00,Chelsea,Southampton,0,2,Before,2019
26/12/2019,15:00,Crystal Palace,West Ham,2,1,Before,2019
26/12/2019,15:00,Everton,Burnley,1,0,Before,2019
26/12/2019,15:00,Sheffield United,Watford,1,1,Before,2019
26/12/2019,17:30,Man United,Newcastle,4,1,Before,2019
26/12/2019,20:00,Leicester,Liverpool,0,4,Before,2019
27/12/2019,19:45,Wolves,Man City,3,2,Before,2019
28/12/2019,12:30,Brighton,Bournemouth,2,0,Before,2019
28/12/2019,15:00,Newcastle,Everton,1,2,Before,2019
28/12/2019,15:00,Southampton,Crystal Palace,1,1,Before,2019
28/12/2019,15:00,Watford,Aston Villa,3,0,Before,2019
28/12/2019,17:30,Norwich,Tottenham,2,2,Before,2019
28/12/2019,17:30,West Ham,Leicester,1,2,Before,2019
28/12/2019,19:45,Burnley,Man United,0,2,Before,2019
29/12/2019,14:00,Arsenal,Chelsea,1,2,Before,2019
29/12/2019,16:30,Liverpool,Wolves,1,0,Before,2019
29/12/2019,18:00,Man City,Sheffield United,2,0,Before,2019
1/1/2020,12:30,Brighton,Chelsea,1,1,Before,2019
1/1/2020,12:30,Burnley,Aston Villa,1,2,Before,2019
1/1/2020,15:00,Newcastle,Leicester,0,3,Before,2019
1/1/2020,15:00,Southampton,Tottenham,1,0,Before,2019
1/1/2020,15:00,Watford,Wolves,2,1,Before,2019
1/1/2020,17:30,Man City,Everton,2,1,Before,2019
1/1/2020,17:30,Norwich,Crystal Palace,1,1,Before,2019
1/1/2020,17:30,West Ham,Bournemouth,4,0,Before,2019
1/1/2020,20:00,Arsenal,Man United,2,0,Before,2019
2/1/2020,20:00,Liverpool,Sheffield United,2,0,Before,2019
10/1/2020,20:00,Sheffield United,West Ham,1,0,Before,2019
11/1/2020,12:30,Crystal Palace,Arsenal,1,1,Before,2019
11/1/2020,15:00,Chelsea,Burnley,3,0,Before,2019
11/1/2020,15:00,Everton,Brighton,1,0,Before,2019
11/1/2020,15:00,Leicester,Southampton,1,2,Before,2019
11/1/2020,15:00,Man United,Norwich,4,0,Before,2019
11/1/2020,15:00,Wolves,Newcastle,1,1,Before,2019
11/1/2020,17:30,Tottenham,Liverpool,0,1,Before,2019
12/1/2020,14:00,Bournemouth,Watford,0,3,Before,2019
12/1/2020,16:30,Aston Villa,Man City,1,6,Before,2019
18/01/2020,12:30,Watford,Tottenham,0,0,Before,2019
18/01/2020,15:00,Arsenal,Sheffield United,1,1,Before,2019
18/01/2020,15:00,Brighton,Aston Villa,1,1,Before,2019
18/01/2020,15:00,Man City,Crystal Palace,2,2,Before,2019
18/01/2020,15:00,Norwich,Bournemouth,1,0,Before,2019
18/01/2020,15:00,Southampton,Wolves,2,3,Before,2019
18/01/2020,15:00,West Ham,Everton,1,1,Before,2019
18/01/2020,17:30,Newcastle,Chelsea,1,0,Before,2019
19/01/2020,14:00,Burnley,Leicester,2,1,Before,2019
19/01/2020,16:30,Liverpool,Man United,2,0,Before,2019
21/01/2020,19:30,Aston Villa,Watford,2,1,Before,2019
21/01/2020,19:30,Bournemouth,Brighton,3,1,Before,2019
21/01/2020,19:30,Crystal Palace,Southampton,0,2,Before,2019
21/01/2020,19:30,Everton,Newcastle,2,2,Before,2019
21/01/2020,19:30,Sheffield United,Man City,0,1,Before,2019
21/01/2020,20:15,Chelsea,Arsenal,2,2,Before,2019
22/01/2020,19:30,Leicester,West Ham,4,1,Before,2019
22/01/2020,19:30,Tottenham,Norwich,2,1,Before,2019
22/01/2020,20:15,Man United,Burnley,0,2,Before,2019
23/01/2020,20:00,Wolves,Liverpool,1,2,Before,2019
29/01/2020,19:45,West Ham,Liverpool,0,2,Before,2019
1/2/2020,12:30,Leicester,Chelsea,2,2,Before,2019
1/2/2020,15:00,Bournemouth,Aston Villa,2,1,Before,2019
1/2/2020,15:00,Crystal Palace,Sheffield United,0,1,Before,2019
1/2/2020,15:00,Liverpool,Southampton,4,0,Before,2019
1/2/2020,15:00,Newcastle,Norwich,0,0,Before,2019
1/2/2020,15:00,Watford,Everton,2,3,Before,2019
1/2/2020,15:00,West Ham,Brighton,3,3,Before,2019
1/2/2020,17:30,Man United,Wolves,0,0,Before,2019
2/2/2020,14:00,Burnley,Arsenal,0,0,Before,2019
2/2/2020,16:30,Tottenham,Man City,2,0,Before,2019
8/2/2020,12:30,Everton,Crystal Palace,3,1,Before,2019
8/2/2020,17:30,Brighton,Watford,1,1,Before,2019
9/2/2020,14:00,Sheffield United,Bournemouth,2,1,Before,2019
14/02/2020,20:00,Wolves,Leicester,0,0,Before,2019
15/02/2020,12:30,Southampton,Burnley,1,2,Before,2019
15/02/2020,17:30,Norwich,Liverpool,0,1,Before,2019
16/02/2020,14:00,Aston Villa,Tottenham,2,3,Before,2019
16/02/2020,16:30,Arsenal,Newcastle,4,0,Before,2019
17/02/2020,20:00,Chelsea,Man United,0,2,Before,2019
19/02/2020,19:30,Man City,West Ham,2,0,Before,2019
22/02/2020,12:30,Chelsea,Tottenham,2,1,Before,2019
22/02/2020,15:00,Burnley,Bournemouth,3,0,Before,2019
22/02/2020,15:00,Crystal Palace,Newcastle,1,0,Before,2019
22/02/2020,15:00,Sheffield United,Brighton,1,1,Before,2019
22/02/2020,15:00,Southampton,Aston Villa,2,0,Before,2019
22/02/2020,17:30,Leicester,Man City,0,1,Before,2019
23/02/2020,14:00,Man United,Watford,3,0,Before,2019
23/02/2020,14:00,Wolves,Norwich,3,0,Before,2019
23/02/2020,16:30,Arsenal,Everton,3,2,Before,2019
24/02/2020,20:00,Liverpool,West Ham,3,2,Before,2019
28/02/2020,20:00,Norwich,Leicester,1,0,Before,2019
29/02/2020,12:30,Brighton,Crystal Palace,0,1,Before,2019
29/02/2020,15:00,Bournemouth,Chelsea,2,2,Before,2019
29/02/2020,15:00,Newcastle,Burnley,0,0,Before,2019
29/02/2020,15:00,West Ham,Southampton,3,1,Before,2019
29/02/2020,17:30,Watford,Liverpool,3,0,Before,2019
1/3/2020,14:00,Everton,Man United,1,1,Before,2019
1/3/2020,14:00,Tottenham,Wolves,2,3,Before,2019
7/3/2020,12:30,Liverpool,Bournemouth,2,1,Before,2019
7/3/2020,15:00,Arsenal,West Ham,1,0,Before,2019
7/3/2020,15:00,Crystal Palace,Watford,1,0,Before,2019
7/3/2020,15:00,Sheffield United,Norwich,1,0,Before,2019
7/3/2020,15:00,Southampton,Newcastle,0,1,Before,2019
7/3/2020,15:00,Wolves,Brighton,0,0,Before,2019
7/3/2020,17:30,Burnley,Tottenham,1,1,Before,2019
8/3/2020,14:00,Chelsea,Everton,4,0,Before,2019
8/3/2020,16:30,Man United,Man City,2,0,Before,2019
9/3/2020,20:00,Leicester,Aston Villa,4,0,Before,2019
17/06/2020,18:00,Aston Villa,Sheffield United,0,0,During,2019
17/06/2020,20:15,Man City,Arsenal,3,0,During,2019
19/06/2020,18:00,Norwich,Southampton,0,3,During,2019
19/06/2020,20:15,Tottenham,Man United,1,1,During,2019
20/06/2020,12:30,Watford,Leicester,1,1,During,2019
20/06/2020,15:00,Brighton,Arsenal,2,1,During,2019
20/06/2020,17:30,West Ham,Wolves,0,2,During,2019
20/06/2020,19:45,Bournemouth,Crystal Palace,0,2,During,2019
21/06/2020,14:00,Newcastle,Sheffield United,3,0,During,2019
21/06/2020,16:15,Aston Villa,Chelsea,1,2,During,2019
21/06/2020,19:00,Everton,Liverpool,0,0,During,2019
22/06/2020,20:00,Man City,Burnley,5,0,During,2019
23/06/2020,18:00,Leicester,Brighton,0,0,During,2019
23/06/2020,20:15,Tottenham,West Ham,2,0,During,2019
24/06/2020,18:00,Man United,Sheffield United,3,0,During,2019
24/06/2020,18:00,Newcastle,Aston Villa,1,1,During,2019
24/06/2020,18:00,Norwich,Everton,0,1,During,2019
24/06/2020,18:00,Wolves,Bournemouth,1,0,During,2019
24/06/2020,20:15,Liverpool,Crystal Palace,4,0,During,2019
25/06/2020,18:00,Burnley,Watford,1,0,During,2019
25/06/2020,18:00,Southampton,Arsenal,0,2,During,2019
25/06/2020,20:15,Chelsea,Man City,2,1,During,2019
27/06/2020,12:30,Aston Villa,Wolves,0,1,During,2019
28/06/2020,16:30,Watford,Southampton,1,3,During,2019
29/06/2020,20:00,Crystal Palace,Burnley,0,1,During,2019
30/06/2020,20:15,Brighton,Man United,0,3,During,2019
1/7/2020,18:00,Arsenal,Norwich,4,0,During,2019
1/7/2020,18:00,Bournemouth,Newcastle,1,4,During,2019
1/7/2020,18:00,Everton,Leicester,2,1,During,2019
1/7/2020,20:15,West Ham,Chelsea,3,2,During,2019
2/7/2020,18:00,Sheffield United,Tottenham,3,1,During,2019
2/7/2020,20:15,Man City,Liverpool,4,0,During,2019
4/7/2020,12:30,Norwich,Brighton,0,1,During,2019
4/7/2020,15:00,Leicester,Crystal Palace,3,0,During,2019
4/7/2020,15:00,Man United,Bournemouth,5,2,During,2019
4/7/2020,17:30,Wolves,Arsenal,0,2,During,2019
4/7/2020,20:00,Chelsea,Watford,3,0,During,2019
5/7/2020,12:00,Burnley,Sheffield United,1,1,During,2019
5/7/2020,14:15,Newcastle,West Ham,2,2,During,2019
5/7/2020,16:30,Liverpool,Aston Villa,2,0,During,2019
5/7/2020,19:00,Southampton,Man City,1,0,During,2019
6/7/2020,20:00,Tottenham,Everton,1,0,During,2019
7/7/2020,18:00,Crystal Palace,Chelsea,2,3,During,2019
7/7/2020,18:00,Watford,Norwich,2,1,During,2019
7/7/2020,20:15,Arsenal,Leicester,1,1,During,2019
8/7/2020,18:00,Man City,Newcastle,5,0,During,2019
8/7/2020,18:00,Sheffield United,Wolves,1,0,During,2019
8/7/2020,18:00,West Ham,Burnley,0,1,During,2019
8/7/2020,20:15,Brighton,Liverpool,1,3,During,2019
9/7/2020,18:00,Bournemouth,Tottenham,0,0,During,2019
9/7/2020,18:00,Everton,Southampton,1,1,During,2019
9/7/2020,20:15,Aston Villa,Man United,0,3,During,2019
11/7/2020,12:30,Norwich,West Ham,0,4,During,2019
11/7/2020,12:30,Watford,Newcastle,2,1,During,2019
11/7/2020,15:00,Liverpool,Burnley,1,1,During,2019
11/7/2020,17:30,Sheffield United,Chelsea,3,0,During,2019
11/7/2020,20:00,Brighton,Man City,0,5,During,2019
12/7/2020,12:00,Wolves,Everton,3,0,During,2019
12/7/2020,14:15,Aston Villa,Crystal Palace,2,0,During,2019
12/7/2020,16:30,Tottenham,Arsenal,2,1,During,2019
12/7/2020,19:00,Bournemouth,Leicester,4,1,During,2019
13/07/2020,20:00,Man United,Southampton,2,2,During,2019
14/07/2020,20:15,Chelsea,Norwich,1,0,During,2019
15/07/2020,18:00,Burnley,Wolves,1,1,During,2019
15/07/2020,18:00,Man City,Bournemouth,2,1,During,2019
15/07/2020,18:00,Newcastle,Tottenham,1,3,During,2019
15/07/2020,20:15,Arsenal,Liverpool,2,1,During,2019
16/07/2020,18:00,Everton,Aston Villa,1,1,During,2019
16/07/2020,18:00,Leicester,Sheffield United,2,0,During,2019
16/07/2020,20:15,Crystal Palace,Man United,0,2,During,2019
16/07/2020,20:15,Southampton,Brighton,1,1,During,2019
17/07/2020,20:00,West Ham,Watford,3,1,During,2019
18/07/2020,17:30,Norwich,Burnley,0,2,During,2019
19/07/2020,14:00,Bournemouth,Southampton,0,2,During,2019
19/07/2020,16:00,Tottenham,Leicester,3,0,During,2019
20/07/2020,18:00,Brighton,Newcastle,0,0,During,2019
20/07/2020,18:00,Sheffield United,Everton,0,1,During,2019
20/07/2020,20:15,Wolves,Crystal Palace,2,0,During,2019
21/07/2020,18:00,Watford,Man City,0,4,During,2019
21/07/2020,20:15,Aston Villa,Arsenal,1,0,During,2019
22/07/2020,18:00,Man United,West Ham,1,1,During,2019
22/07/2020,20:15,Liverpool,Chelsea,5,3,During,2019
26/07/2020,16:00,Arsenal,Watford,3,2,During,2019
26/07/2020,16:00,Burnley,Brighton,1,2,During,2019
26/07/2020,16:00,Chelsea,Wolves,2,0,During,2019
26/07/2020,16:00,Crystal Palace,Tottenham,1,1,During,2019
26/07/2020,16:00,Everton,Bournemouth,1,3,During,2019
26/07/2020,16:00,Leicester,Man United,0,2,During,2019
26/07/2020,16:00,Man City,Norwich,5,0,During,2019
26/07/2020,16:00,Newcastle,Liverpool,1,3,During,2019
26/07/2020,16:00,Southampton,Sheffield United,3,1,During,2019
26/07/2020,16:00,West Ham,Aston Villa,1,1,During,2019
12/9/2020,12:30,Fulham,Arsenal,0,3,During,2020
12/9/2020,15:00,Crystal Palace,Southampton,1,0,During,2020
12/9/2020,17:30,Liverpool,Leeds,4,3,During,2020
12/9/2020,20:00,West Ham,Newcastle,0,2,During,2020
13/09/2020,14:00,West Brom,Leicester,0,3,During,2020
13/09/2020,16:30,Tottenham,Everton,0,1,During,2020
14/09/2020,20:15,Brighton,Chelsea,1,3,During,2020
14/09/2020,18:00,Sheffield United,Wolves,0,2,During,2020
19/09/2020,12:30,Everton,West Brom,5,2,During,2020
19/09/2020,15:00,Leeds,Fulham,4,3,During,2020
19/09/2020,17:30,Man United,Crystal Palace,1,3,During,2020
19/09/2020,20:00,Arsenal,West Ham,2,1,During,2020
20/09/2020,12:00,Southampton,Tottenham,2,5,During,2020
20/09/2020,14:00,Newcastle,Brighton,0,3,During,2020
20/09/2020,16:30,Chelsea,Liverpool,0,2,During,2020
20/09/2020,19:00,Leicester,Burnley,4,2,During,2020
21/09/2020,18:00,Aston Villa,Sheffield United,1,0,During,2020
21/09/2020,20:15,Wolves,Man City,1,3,During,2020
26/09/2020,12:30,Brighton,Man United,2,3,During,2020
26/09/2020,15:00,Crystal Palace,Everton,1,2,During,2020
26/09/2020,17:30,West Brom,Chelsea,3,3,During,2020
26/09/2020,20:00,Burnley,Southampton,0,1,During,2020
27/09/2020,12:00,Sheffield United,Leeds,0,1,During,2020
27/09/2020,14:00,Tottenham,Newcastle,1,1,During,2020
