Date,Time,HomeTeam,AwayTeam,HG,AG,Covid,Season
27/09/2020,16:30,Man City,Leicester,2,5,During,2020
27/09/2020,19:00,West Ham,Wolves,4,0,During,2020
28/09/2020,17:45,Fulham,Aston Villa,0,3,During,2020
28/09/2020,20:00,Liverpool,Arsenal,3,1,During,2020
3/10/2020,12:30,Chelsea,Crystal Palace,4,0,During,2020
3/10/2020,15:00,Everton,Brighton,4,2,During,2020
3/10/2020,17:30,Leeds,Man City,1,1,During,2020
3/10/2020,20:00,Newcastle,Burnley,3,1,During,2020
4/10/2020,12:00,Leicester,West Ham,0,3,During,2020
4/10/2020,12:00,Southampton,West Brom,2,0,During,2020
4/10/2020,14:00,Arsenal,Sheffield United,2,1,During,2020
4/10/2020,14:00,Wolves,Fulham,1,0,During,2020
4/10/2020,16:30,Man United,Tottenham,1,6,During,2020
4/10/2020,19:15,Aston Villa,Liverpool,7,2,During,2020
17/10/2020,12:30,Everton,Liverpool,2,2,During,2020
17/10/2020,15:00,Chelsea,Southampton,3,3,During,2020
17/10/2020,17:30,Man City,Arsenal,1,0,During,2020
17/10/2020,20:00,Newcastle,Man United,1,4,During,2020
18/10/2020,12:00,Sheffield United,Fulham,1,1,During,2020
18/10/2020,14:00,Crystal Palace,Brighton,1,1,During,2020
18/10/2020,16:30,Tottenham,West Ham,3,3,During,2020
18/10/2020,19:15,Leicester,Aston Villa,0,1,During,2020
19/10/2020,17:30,West Brom,Burnley,0,0,During,2020
19/10/2020,20:00,Leeds,Wolves,0,1,During,2020
23/10/2020,20:00,Aston Villa,Leeds,0,3,During,2020
24/10/2020,12:30,West Ham,Man City,1,1,During,2020
24/10/2020,15:00,Fulham,Crystal Palace,1,2,During,2020
24/10/2020,17:30,Man United,Chelsea,0,0,During,2020
24/10/2020,20:00,Liverpool,Sheffield United,2,1,During,2020
25/10/2020,14:00,Southampton,Everton,2,0,During,2020
25/10/2020,16:30,Wolves,Newcastle,1,1,During,2020
25/10/2020,19:15,Arsenal,Leicester,0,1,During,2020
26/10/2020,17:30,Brighton,West Brom,1,1,During,2020
26/10/2020,20:00,Burnley,Tottenham,0,1,During,2020
30/10/2020,20:00,Wolves,Crystal Palace,2,0,During,2020
31/10/2020,12:30,Sheffield United,Man City,0,1,During,2020
31/10/2020,15:00,Burnley,Chelsea,0,3,During,2020
31/10/2020,17:30,Liverpool,West Ham,2,1,During,2020
1/11/2020,12:00,Aston Villa,Southampton,3,4,During,2020
1/11/2020,14:00,Newcastle,Everton,2,1,During,2020
1/11/2020,16:30,Man United,Arsenal,0,1,During,2020
1/11/2020,19:15,Tottenham,Brighton,2,1,During,2020
2/11/2020,17:30,Fulham,West Brom,2,0,During,2020
2/11/2020,20:00,Leeds,Leicester,1,4,During,2020
6/11/2020,17:30,Brighton,Burnley,0,0,During,2020
6/11/2020,20:00,Southampton,Newcastle,2,0,During,2020
7/11/2020,12:30,Everton,Man United,1,3,During,2020
7/11/2020,15:00,Crystal Palace,Leeds,4,1,During,2020
7/11/2020,17:30,Chelsea,Sheffield United,4,1,During,2020
7/11/2020,20:00,West Ham,Fulham,1,0,During,2020
8/11/2020,12:00,West Brom,Tottenham,0,1,During,2020
8/11/2020,14:00,Leicester,Wolves,1,0,During,2020
8/11/2020,16:30,Man City,Liverpool,1,1,During,2020
8/11/2020,19:15,Arsenal,Aston Villa,0,3,During,2020
21/11/2020,12:30,Newcastle,Chelsea,0,2,During,2020
21/11/2020,15:00,Aston Villa,Brighton,1,2,During,2020
21/11/2020,17:30,Tottenham,Man City,2,0,During,2020
21/11/2020,20:00,Man United,West Brom,1,0,During,2020
22/11/2020,12:00,Fulham,Everton,2,3,During,2020
22/11/2020,14:00,Sheffield United,West Ham,0,1,During,2020
22/11/2020,16:30,Leeds,Arsenal,0,0,During,2020
22/11/2020,19:15,Liverpool,Leicester,3,0,During,2020
23/11/2020,17:30,Burnley,Crystal Palace,1,0,During,2020
23/11/2020,20:00,Wolves,Southampton,1,1,During,2020
27/11/2020,20:00,Crystal Palace,Newcastle,0,2,During,2020
28/11/2020,12:30,Brighton,Liverpool,1,1,During,2020
28/11/2020,15:00,Man City,Burnley,5,0,During,2020
28/11/2020,17:30,Everton,Leeds,0,1,During,2020
28/11/2020,20:00,West Brom,Sheffield United,1,0,During,2020
29/11/2020,14:00,Southampton,Man United,2,3,During,2020
29/11/2020,16:30,Chelsea,Tottenham,0,0,During,2020
29/11/2020,19:15,Arsenal,Wolves,1,2,During,2020
30/11/2020,17:30,Leicester,Fulham,1,2,During,2020
30/11/2020,20:00,West Ham,Aston Villa,2,1,During,2020
5/12/2020,12:30,Burnley,Everton,1,1,During,2020
5/12/2020,15:00,Man City,Fulham,2,0,During,2020
5/12/2020,17:30,West Ham,Man United,1,3,During,2020
5/12/2020,20:00,Chelsea,Leeds,3,1,During,2020
6/12/2020,12:00,West Brom,Crystal Palace,1,5,During,2020
6/12/2020,14:15,Sheffield United,Leicester,1,2,During,2020
6/12/2020,16:30,Tottenham,Arsenal,2,0,During,2020
6/12/2020,19:15,Liverpool,Wolves,4,0,During,2020
7/12/2020,20:00,Brighton,Southampton,1,2,During,2020
11/12/2020,20:00,Leeds,West Ham,1,2,During,2020
12/12/2020,12:30,Wolves,Aston Villa,0,1,During,2020
12/12/2020,15:00,Newcastle,West Brom,2,1,During,2020
12/12/2020,17:30,Man United,Man City,0,0,During,2020
12/12/2020,20:00,Everton,Chelsea,1,0,During,2020
13/12/2020,12:00,Southampton,Sheffield United,3,0,During,2020
13/12/2020,14:15,Crystal Palace,Tottenham,1,1,During,2020
13/12/2020,16:30,Fulham,Liverpool,1,1,During,2020
13/12/2020,19:15,Arsenal,Burnley,0,1,During,2020
13/12/2020,19:15,Leicester,Brighton,3,0,During,2020
15/12/2020,18:00,Wolves,Chelsea,2,1,During,2020
15/12/2020,20:00,Man City,West Brom,1,1,During,2020
16/12/2020,18:00,Arsenal,Southampton,1,1,During,2020
16/12/2020,18:00,Leeds,Newcastle,5,2,During,2020
16/12/2020,18:00,Leicester,Everton,0,2,During,2020
16/12/2020,20:00,Fulham,Brighton,0,0,During,2020
16/12/2020,20:00,Liverpool,Tottenham,2,1,During,2020
16/12/2020,20:00,West Ham,Crystal Palace,1,1,During,2020
17/12/2020,18:00,Aston Villa,Burnley,0,0,During,2020
17/12/2020,20:00,Sheffield United,Man United,2,3,During,2020
19/12/2020,12:30,Crystal Palace,Liverpool,0,7,During,2020
19/12/2020,15:00,Southampton,Man City,0,1,During,2020
19/12/2020,17:30,Everton,Arsenal,2,1,During,2020
19/12/2020,20:00,Newcastle,Fulham,1,1,During,2020
20/12/2020,12:00,Brighton,Sheffield United,1,1,During,2020
20/12/2020,14:15,Tottenham,Leicester,0,2,During,2020
20/12/2020,16:30,Man United,Leeds,6,2,During,2020
20/12/2020,19:15,West Brom,Aston Villa,0,3,During,2020
21/12/2020,17:30,Burnley,Wolves,2,1,During,2020
21/12/2020,20:00,Chelsea,West Ham,3,0,During,2020
26/12/2020,12:30,Leicester,Man United,2,2,During,2020
26/12/2020,15:00,Aston Villa,Crystal Palace,3,0,During,2020
26/12/2020,15:00,Fulham,Southampton,0,0,During,2020
26/12/2020,17:30,Arsenal,Chelsea,3,1,During,2020
26/12/2020,20:00,Man City,Newcastle,2,0,During,2020
26/12/2020,20:00,Sheffield United,Everton,0,1,During,2020
27/12/2020,12:00,Leeds,Burnley,1,0,During,2020
27/12/2020,14:15,West Ham,Brighton,2,2,During,2020
27/12/2020,16:30,Liverpool,West Brom,1,1,During,2020
27/12/2020,19:15,Wolves,Tottenham,1,1,During,2020
28/12/2020,15:00,Crystal Palace,Leicester,1,1,During,2020
28/12/2020,17:30,Chelsea,Aston Villa,1,1,During,2020
29/12/2020,18:00,Brighton,Arsenal,0,1,During,2020
29/12/2020,18:00,Burnley,Sheffield United,1,0,During,2020
29/12/2020,18:00,Southampton,West Ham,0,0,During,2020
29/12/2020,18:00,West Brom,Leeds,0,5,During,2020
29/12/2020,20:00,Man United,Wolves,1,0,During,2020
30/12/2020,20:00,Newcastle,Liverpool,0,0,During,2020
1/1/2021,17:30,Everton,West Ham,0,1,During,2020
1/1/2021,20:00,Man United,Aston Villa,2,1,During,2020
2/1/2021,12:30,Tottenham,Leeds,3,0,During,2020
2/1/2021,15:00,Crystal Palace,Sheffield United,2,0,During,2020
2/1/2021,17:30,Brighton,Wolves,3,3,During,2020
2/1/2021,20:00,West Brom,Arsenal,0,4,During,2020
3/1/2021,14:15,Newcastle,Leicester,1,2,During,2020
3/1/2021,16:30,Chelsea,Man City,1,3,During,2020
4/1/2021,20:00,Southampton,Liverpool,1,0,During,2020
12/1/2021,18:00,Sheffield United,Newcastle,1,0,During,2020
12/1/2021,20:15,Burnley,Man United,0,1,During,2020
12/1/2021,20:15,Wolves,Everton,1,2,During,2020
13/01/2021,18:00,Man City,Brighton,1,0,During,2020
13/01/2021,20:15,Tottenham,Fulham,1,1,During,2020
14/01/2021,20:00,Arsenal,Crystal Palace,0,0,During,2020
16/01/2021,12:30,Wolves,West Brom,2,3,During,2020
16/01/2021,15:00,Leeds,Brighton,0,1,During,2020
16/01/2021,15:00,West Ham,Burnley,1,0,During,2020
16/01/2021,17:30,Fulham,Chelsea,0,1,During,2020
16/01/2021,20:00,Leicester,Southampton,2,0,During,2020
17/01/2021,14:00,Sheffield United,Tottenham,1,3,During,2020
17/01/2021,16:30,Liverpool,Man United,0,0,During,2020
17/01/2021,19:15,Man City,Crystal Palace,4,0,During,2020
18/01/2021,20:00,Arsenal,Newcastle,3,0,During,2020
19/01/2021,18:00,West Ham,West Brom,2,1,During,2020
19/01/2021,20:15,Leicester,Chelsea,2,0,During,2020
20/01/2021,18:00,Man City,Aston Villa,2,0,During,2020
20/01/2021,20:15,Fulham,Man United,1,2,During,2020
21/01/2021,20:00,Liverpool,Burnley,0,1,During,2020
23/01/2021,20:00,Aston Villa,Newcastle,2,0,During,2020
26/01/2021,18:00,Crystal Palace,West Ham,2,3,During,2020
26/01/2021,18:00,Newcastle,Leeds,1,2,During,2020
26/01/2021,20:15,Southampton,Arsenal,1,3,During,2020
26/01/2021,20:15,West Brom,Man City,0,5,During,2020
27/01/2021,18:00,Burnley,Aston Villa,3,2,During,2020
27/01/2021,18:00,Chelsea,Wolves,0,0,During,2020
27/01/2021,19:30,Brighton,Fulham,0,0,During,2020
27/01/2021,20:15,Everton,Leicester,1,1,During,2020
27/01/2021,20:15,Man United,Sheffield United,1,2,During,2020
28/01/2021,20:00,Tottenham,Liverpool,1,3,During,2020
30/01/2021,12:30,Everton,Newcastle,0,2,During,2020
30/01/2021,15:00,Crystal Palace,Wolves,1,0,During,2020
30/01/2021,15:00,Man City,Sheffield United,1,0,During,2020
30/01/2021,15:00,West Brom,Fulham,2,2,During,2020
30/01/2021,17:30,Arsenal,Man United,0,0,During,2020
30/01/2021,20:00,Southampton,Aston Villa,0,1,During,2020
31/01/2021,12:00,Chelsea,Burnley,2,0,During,2020
31/01/2021,14:00,Leicester,Leeds,1,3,During,2020
31/01/2021,16:30,West Ham,Liverpool,1,3,During,2020
31/01/2021,19:15,Brighton,Tottenham,1,0,During,2020
2/2/2021,18:00,Sheffield United,West Brom,2,1,During,2020
2/2/2021,18:00,Wolves,Arsenal,2,1,During,2020
2/2/2021,20:15,Man United,Southampton,9,0,During,2020
2/2/2021,20:15,Newcastle,Crystal Palace,1,2,During,2020
3/2/2021,18:00,Burnley,Man City,0,2,During,2020
3/2/2021,18:00,Fulham,Leicester,0,2,During,2020
3/2/2021,19:30,Leeds,Everton,1,2,During,2020
3/2/2021,20:15,Aston Villa,West Ham,1,3,During,2020
3/2/2021,20:15,Liverpool,Brighton,0,1,During,2020
4/2/2021,20:00,Tottenham,Chelsea,0,1,During,2020
6/2/2021,12:30,Aston Villa,Arsenal,1,0,During,2020
6/2/2021,15:00,Burnley,Brighton,1,1,During,2020
6/2/2021,15:00,Newcastle,Southampton,3,2,During,2020
6/2/2021,17:30,Fulham,West Ham,0,0,During,2020
6/2/2021,20:00,Man United,Everton,3,3,During,2020
7/2/2021,12:00,Tottenham,West Brom,2,0,During,2020
7/2/2021,14:00,Wolves,Leicester,0,0,During,2020
7/2/2021,16:30,Liverpool,Man City,1,4,During,2020
7/2/2021,19:15,Sheffield United,Chelsea,1,2,During,2020
8/2/2021,20:00,Leeds,Crystal Palace,2,0,During,2020
13/02/2021,12:30,Leicester,Liverpool,3,1,During,2020
13/02/2021,15:00,Crystal Palace,Burnley,0,3,During,2020
13/02/2021,17:30,Man City,Tottenham,3,0,During,2020
13/02/2021,20:00,Brighton,Aston Villa,0,0,During,2020
14/02/2021,12:00,Southampton,Wolves,1,2,During,2020
14/02/2021,14:00,West Brom,Man United,1,1,During,2020
14/02/2021,16:30,Arsenal,Leeds,4,2,During,2020
14/02/2021,19:00,Everton,Fulham,0,2,During,2020
15/02/2021,18:00,West Ham,Sheffield United,3,0,During,2020
15/02/2021,20:00,Chelsea,Newcastle,2,0,During,2020
17/02/2021,18:00,Burnley,Fulham,1,1,During,2020
17/02/2021,20:15,Everton,Man City,1,3,During,2020
19/02/2021,20:00,Wolves,Leeds,1,0,During,2020
20/02/2021,12:30,Southampton,Chelsea,1,1,During,2020
20/02/2021,15:00,Burnley,West Brom,0,0,During,2020
20/02/2021,17:30,Liverpool,Everton,0,2,During,2020
20/02/2021,20:00,Fulham,Sheffield United,1,0,During,2020
21/02/2021,12:00,West Ham,Tottenham,2,1,During,2020
21/02/2021,14:05,Aston Villa,Leicester,1,2,During,2020
21/02/2021,16:30,Arsenal,Man City,0,1,During,2020
21/02/2021,19:00,Man United,Newcastle,3,1,During,2020
22/02/2021,20:00,Brighton,Crystal Palace,1,2,During,2020
23/02/2021,18:00,Leeds,Southampton,3,0,During,2020
27/02/2021,12:30,Man City,West Ham,2,1,During,2020
27/02/2021,15:00,West Brom,Brighton,1,0,During,2020
27/02/2021,17:30,Leeds,Aston Villa,0,1,During,2020
27/02/2021,20:00,Newcastle,Wolves,1,1,During,2020
28/02/2021,12:00,Crystal Palace,Fulham,0,0,During,2020
28/02/2021,12:00,Leicester,Arsenal,1,3,During,2020
28/02/2021,14:00,Tottenham,Burnley,4,0,During,2020
28/02/2021,16:30,Chelsea,Man United,0,0,During,2020
28/02/2021,19:15,Sheffield United,Liverpool,0,2,During,2020
1/3/2021,20:00,Everton,Southampton,1,0,During,2020
2/3/2021,20:00,Man City,Wolves,4,1,During,2020
3/3/2021,18:00,Burnley,Leicester,1,1,During,2020
3/3/2021,18:00,Sheffield United,Aston Villa,1,0,During,2020
3/3/2021,20:15,Crystal Palace,Man United,0,0,During,2020
4/3/2021,18:00,Fulham,Tottenham,0,1,During,2020
4/3/2021,18:00,West Brom,Everton,0,1,During,2020
4/3/2021,20:15,Liverpool,Chelsea,0,1,During,2020
6/3/2021,12:30,Burnley,Arsenal,1,1,During,2020
6/3/2021,15:00,Sheffield United,Southampton,0,2,During,2020
6/3/2021,17:30,Aston Villa,Wolves,0,0,During,2020
6/3/2021,20:00,Brighton,Leicester,1,2,During,2020
7/3/2021,12:00,West Brom,Newcastle,0,0,During,2020
7/3/2021,14:00,Liverpool,Fulham,0,1,During,2020
7/3/2021,16:30,Man City,Man United,0,2,During,2020
7/3/2021,19:15,Tottenham,Crystal Palace,4,1,During,2020
8/3/2021,18:00,Chelsea,Everton,2,0,During,2020
8/3/2021,20:00,West Ham,Leeds,2,0,During,2020
10/3/2021,18:00,Man City,Southampton,5,2,During,2020
12/3/2021,20:00,Newcastle,Aston Villa,1,1,During,2020
13/03/2021,12:30,Leeds,Chelsea,0,0,During,2020
13/03/2021,15:00,Crystal Palace,West Brom,1,0,During,2020
13/03/2021,17:30,Everton,Burnley,1,2,During,2020
13/03/2021,20:00,Fulham,Man City,0,3,During,2020
14/03/2021,12:00,Southampton,Brighton,1,2,During,2020
14/03/2021,14:00,Leicester,Sheffield United,5,0,During,2020
14/03/2021,16:30,Arsenal,Tottenham,2,1,During,2020
14/03/2021,19:15,Man United,West Ham,1,0,During,2020
15/03/2021,20:00,Wolves,Liverpool,0,1,During,2020
19/03/2021,20:00,Fulham,Leeds,1,2,During,2020
20/03/2021,20:00,Brighton,Newcastle,3,0,During,2020
21/03/2021,15:00,West Ham,Arsenal,3,3,During,2020
21/03/2021,19:30,Aston Villa,Tottenham,0,2,During,2020
3/4/2021,12:30,Chelsea,West Brom,2,5,During,2020
3/4/2021,15:00,Leeds,Sheffield United,2,1,During,2020
3/4/2021,17:30,Leicester,Man City,0,2,During,2020
3/4/2021,20:00,Arsenal,Liverpool,0,3,During,2020
4/4/2021,12:00,Southampton,Burnley,3,2,During,2020
4/4/2021,14:05,Newcastle,Tottenham,2,2,During,2020
4/4/2021,16:30,Aston Villa,Fulham,3,1,During,2020
4/4/2021,19:30,Man United,Brighton,2,1,During,2020
5/4/2021,18:00,Everton,Crystal Palace,1,1,During,2020
5/4/2021,20:15,Wolves,West Ham,2,3,During,2020
9/4/2021,20:00,Fulham,Wolves,0,1,During,2020
10/4/2021,12:30,Man City,Leeds,1,2,During,2020
10/4/2021,15:00,Liverpool,Aston Villa,2,1,During,2020
10/4/2021,17:30,Crystal Palace,Chelsea,1,4,During,2020
11/4/2021,12:00,Burnley,Newcastle,1,2,During,2020
11/4/2021,14:05,West Ham,Leicester,3,2,During,2020
11/4/2021,16:30,Tottenham,Man United,1,3,During,2020
11/4/2021,19:00,Sheffield United,Arsenal,0,3,During,2020
12/4/2021,18:00,West Brom,Southampton,3,0,During,2020
12/4/2021,20:15,Brighton,Everton,0,0,During,2020
16/04/2021,20:00,Everton,Tottenham,2,2,During,2020
17/04/2021,12:30,Newcastle,West Ham,3,2,During,2020
17/04/2021,20:15,Wolves,Sheffield United,1,0,During,2020
18/04/2021,13:30,Arsenal,Fulham,1,1,During,2020
18/04/2021,16:00,Man United,Burnley,3,1,During,2020
19/04/2021,20:00,Leeds,Liverpool,1,1,During,2020
20/04/2021,20:00,Chelsea,Brighton,0,0,During,2020
21/04/2021,18:00,Tottenham,Southampton,2,1,During,2020
21/04/2021,20:15,Aston Villa,Man City,1,2,During,2020
22/04/2021,20:00,Leicester,West Brom,3,0,During,2020
23/04/2021,20:00,Arsenal,Everton,0,1,During,2020
24/04/2021,12:30,Liverpool,Newcastle,1,1,During,2020
24/04/2021,17:30,West Ham,Chelsea,0,1,During,2020
24/04/2021,20:00,Sheffield United,Brighton,1,0,During,2020
25/04/2021,12:00,Wolves,Burnley,0,4,During,2020
25/04/2021,14:00,Leeds,Man United,0,0,During,2020
25/04/2021,19:00,Aston Villa,West Brom,2,2,During,2020
26/04/2021,20:00,Leicester,Crystal Palace,2,1,During,2020
30/04/2021,20:00,Southampton,Leicester,1,1,During,2020
1/5/2021,12:30,Crystal Palace,Man City,0,2,During,2020
1/5/2021,15:00,Brighton,Leeds,2,0,During,2020
1/5/2021,17:30,Chelsea,Fulham,2,0,During,2020
1/5/2021,20:00,Everton,Aston Villa,1,2,During,2020
2/5/2021,14:00,Newcastle,Arsenal,0,2,During,2020
2/5/2021,19:15,Tottenham,Sheffield United,4,0,During,2020
3/5/2021,18:00,West Brom,Wolves,1,1,During,2020
3/5/2021,20:15,Burnley,West Ham,1,2,During,2020
7/5/2021,20:00,Leicester,Newcastle,2,4,During,2020
8/5/2021,12:30,Leeds,Tottenham,3,1,During,2020
8/5/2021,15:00,Sheffield United,Crystal Palace,0,2,During,2020
8/5/2021,17:30,Man City,Chelsea,1,2,During,2020
8/5/2021,20:15,Liverpool,Southampton,2,0,During,2020
9/5/2021,12:00,Wolves,Brighton,2,1,During,2020
9/5/2021,14:05,Aston Villa,Man United,1,3,During,2020
9/5/2021,16:30,West Ham,Everton,0,1,During,2020
9/5/2021,19:00,Arsenal,West Brom,3,1,During,2020
10/5/2021,20:00,Fulham,Burnley,0,2,During,2020
11/5/2021,18:00,Man United,Leicester,1,2,During,2020
11/5/2021,20:15,Southampton,Crystal Palace,3,1,During,2020
12/5/2021,20:15,Chelsea,Arsenal,0,1,During,2020
13/05/2021,18:00,Aston Villa,Everton,0,0,During,2020
13/05/2021,20:15,Man United,Liverpool,2,4,During,2020
14/05/2021,20:00,Newcastle,Man City,3,4,During,2020
15/05/2021,12:30,Burnley,Leeds,0,4,During,2020
15/05/2021,15:00,Southampton,Fulham,3,1,During,2020
15/05/2021,20:00,Brighton,West Ham,1,1,During,2020
16/05/2021,12:00,Crystal Palace,Aston Villa,3,2,During,2020
16/05/2021,14:05,Tottenham,Wolves,2,0,During,2020
16/05/2021,16:30,West Brom,Liverpool,1,2,During,2020
16/05/2021,19:00,Everton,Sheffield United,0,1,During,2020
18/05/2021,18:00,Man United,Fulham,1,1,During,2020
18/05/2021,18:00,Southampton,Leeds,0,2,During,2020
18/05/2021,19:00,Brighton,Man City,3,2,During,2020
18/05/2021,20:15,Chelsea,Leicester,2,1,During,2020
19/05/2021,18:00,Everton,Wolves,1,0,During,2020
19/05/2021,18:00,Newcastle,Sheffield United,1,0,During,2020
19/05/2021,18:00,Tottenham,Aston Villa,1,2,During,2020
19/05/2021,19:00,Crystal Palace,Arsenal,1,3,During,2020
19/05/2021,20:15,Burnley,Liverpool,0,3,During,2020
19/05/2021,20:15,West Brom,West Ham,1,3,During,2020
23/05/2021,16:00,Arsenal,Brighton,2,0,During,2020
23/05/2021,16:00,Aston Villa,Chelsea,2,1,During,2020
23/05/2021,16:00,Fulham,Newcastle,0,2,During,2020
23/05/2021,16:00,Leeds,West Brom,3,1,During,2020
23/05/2021,16:00,Leicester,Tottenham,2,4,During,2020
23/05/2021,16:00,Liverpool,Crystal Palace,2,0,During,2020
23/05/2021,16:00,Man City,Everton,5,0,During,2020
23/05/2021,16:00,Sheffield United,Burnley,1,0,During,2020
23/05/2021,16:00,West Ham,Southampton,3,0,During,2020
23/05/2021,16:00,Wolves,Man United,1,2,During,2020
13/08/2021,20:00,Brentford,Arsenal,2,0,After,2021
14/08/2021,12:30,Man United,Leeds,5,1,After,2021
14/08/2021,15:00,Burnley,Brighton,1,2,After,2021
14/08/2021,15:00,Chelsea,Crystal Palace,3,0,After,2021
14/08/2021,15:00,Everton,Southampton,3,1,After,2021
14/08/2021,15:00,Leicester,Wolves,1,0,After,2021
14/08/2021,15:00,Watford,Aston Villa,3,2,After,2021
14/08/2021,17:30,Norwich,Liverpool,0,3,After,2021
15/08/2021,14:00,Newcastle,West Ham,2,4,After,2021
15/08/2021,16:30,Tottenham,Man City,1,0,After,2021
21/08/2021,12:30,Liverpool,Burnley,2,0,After,2021
21/08/2021,15:00,Aston Villa,Newcastle,2,0,After,2021
21/08/2021,15:00,Crystal Palace,Brentford,0,0,After,2021
21/08/2021,15:00,Leeds,Everton,2,2,After,2021
21/08/2021,15:00,Man City,Norwich,5,0,After,2021
21/08/2021,17:30,Brighton,Watford,2,0,After,2021
22/08/2021,14:00,Southampton,Man United,1,1,After,2021
22/08/2021,14:00,Wolves,Tottenham,0,1,After,2021
22/08/2021,16:30,Arsenal,Chelsea,0,2,After,2021
23/08/2021,20:00,West Ham,Leicester,4,1,After,2021
28/08/2021,12:30,Man City,Arsenal,5,0,After,2021
28/08/2021,15:00,Aston Villa,Brentford,1,1,After,2021
28/08/2021,15:00,Brighton,Everton,0,2,After,2021
28/08/2021,15:00,Newcastle,Southampton,2,2,After,2021
28/08/2021,15:00,Norwich,Leicester,1,2,After,2021
28/08/2021,15:00,West Ham,Crystal Palace,2,2,After,2021
28/08/2021,17:30,Liverpool,Chelsea,1,1,After,2021
29/08/2021,14:00,Burnley,Leeds,1,1,After,2021
29/08/2021,14:00,Tottenham,Watford,1,0,After,2021
29/08/2021,16:30,Wolves,Man United,0,1,After,2021
11/9/2021,12:30,Crystal Palace,Tottenham,3,0,After,2021
11/9/2021,15:00,Arsenal,Norwich,1,0,After,2021
11/9/2021,15:00,Brentford,Brighton,0,1,After,2021
11/9/2021,15:00,Leicester,Man City,0,1,After,2021
11/9/2021,15:00,Man United,Newcastle,4,1,After,2021
11/9/2021,15:00,Southampton,West Ham,0,0,After,2021
11/9/2021,15:00,Watford,Wolves,0,2,After,2021
11/9/2021,17:30,Chelsea,Aston Villa,3,0,After,2021
12/9/2021,16:30,Leeds,Liverpool,0,3,After,2021
13/09/2021,20:00,Everton,Burnley,3,1,After,2021
17/09/2021,20:00,Newcastle,Leeds,1,1,After,2021
18/09/2021,12:30,Wolves,Brentford,0,2,After,2021
18/09/2021,15:00,Burnley,Arsenal,0,1,After,2021
18/09/2021,15:00,Liverpool,Crystal Palace,3,0,After,2021
18/09/2021,15:00,Man City,Southampton,0,0,After,2021
18/09/2021,15:00,Norwich,Watford,1,3,After,2021
18/09/2021,17:30,Aston Villa,Everton,3,0,After,2021
19/09/2021,14:00,Brighton,Leicester,2,1,After,2021
19/09/2021,14:00,West Ham,Man United,1,2,After,2021
19/09/2021,16:30,Tottenham,Chelsea,0,3,After,2021
25/09/2021,12:30,Chelsea,Man City,0,1,After,2021
25/09/2021,12:30,Man United,Aston Villa,0,1,After,2021
25/09/2021,15:00,Everton,Norwich,2,0,After,2021
25/09/2021,15:00,Leeds,West Ham,1,2,After,2021
